cities,name,address,description,score,url,bonus,latitude,longitude
Collioure,Hôtel La Casa Pairal,"Impasse Des Palmiers, 66190 Collioure, France","Situé à 250 mètres de la plage et du port de Collioure, l’Hôtel La Casa Pairal propose un jardin fleuri exotique et une piscine extérieure chauffée. Il occupe un bâtiment catalan du XIXe siècle au cœur du vieux quartier de Collioure.Les chambres à la décoration traditionnelle de l’Hôtel La Casa Pairal sont climatisées. Elles possèdent toutes une télévision par satellite à écran plat, un minibar et une connexion Wi-Fi gratuite. Certaines offrent une vue sur la ville, la cour de l’hôtel et sa fontaine, ou la place du village.A l’Hôtel La Casa Pairal, un petit-déjeuner buffet pourra vous être servi tous les jours dans la salle prévue à cet effet ou dans votre chambre sur demande. Vous pourrez également prendre un verre dans le jardin de l’hôtel.La réception est ouverte 24h/24. Des journaux gratuits et un coffre-fort sont également disponibles.La gare de Collioure se trouve à 500 mètres. Vous séjournerez à 23 km de la frontière espagnole. C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.L'établissement Hôtel La Casa Pairal accueille des clients Booking.com depuis le 7 juil. 2005.En voir plus",8.8,https://www.booking.com/hotel/fr/hotelcasapairal.fr.html,    1 piscine    Parking    Animaux domestiques admis    Connexion Wi-Fi gratuite    Chambres familiales,42.52616733,3.08235571
Collioure,Les Roches Brunes,"Route de Port-Vendres, 66190 Collioure, France","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Les Roches Brunes ! Connectez-vous pour économiser.Situé à Collioure, à 70 mètres de la plage de Balette, l'établissement Les Roches Brunes propose un restaurant, un parking privé gratuit, un bar et un jardin. Il propose des chambres familiales et une terrasse. Vous pourrez profiter d'une vue sur la mer.Les chambres climatisées comprennent une télévision à écran plat et une salle de bains privative pourvue d'une douche. Certaines s'ouvrent sur un balcon. Elles comprennent également un coffre-fort.Un petit-déjeuner buffet et continental est servi tous les matins sur place.Vous séjournerez à proximité des plages de Boutigue, de Saint-Vincent et du château royal de Collioure. L'aéroport de Perpignan-Rivesaltes, le plus proche, est à 37 km. C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,8 pour un séjour à deux.L'établissement Les Roches Brunes accueille des clients Booking.com depuis le 15 janv. 2021.En voir plus",9.0,https://www.booking.com/hotel/fr/les-roches-brunes-collioure.fr.html,    Parking gratuit    Restaurant    Chambres familiales    Chambres non-fumeurs    Terrasse    Plateau/bouilloire dans tous les hébergements    Bar,42.52534777,3.09032446
Collioure,Le Mas des Citronniers,"22 Avenue de La Republique, 66190 Collioure, France","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Mas des Citronniers ! Connectez-vous pour économiser.Situé dans le centre de Collioure, à seulement 250 mètres de la plage, le Mas des Citronniers propose des chambres climatisées dans un bâtiment traditionnel catalan. Une connexion Wi-Fi est fournie gratuitement dans tout l'établissement.Les chambres de l'hôtel Le Mas des Citronniers sont décorées dans des tons vifs. Chacune est pourvue d'une télévision à écran plat, d'un bureau, d'un petit réfrigérateur et d'une salle de bains privative. Certaines comprennent une terrasse avec vue sur le jardin.Un petit-déjeuner buffet est servi chaque matin dans la salle de l'hôtel prévue à cet effet. Vous aurez également la possibilité d'apprécier un petit-déjeuner complet servi en chambre sur demande. Veuillez noter que le petit-déjeuner est en supplément.La réception de l'hôtel Le Mas des Citronniers est ouverte 24h/24. Vous disposerez de journaux gratuits.La gare de Collioure est implantée à 550 mètres de l'établissement, tandis que le château royal est à 300 mètres. C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.L'établissement Le Mas des Citronniers accueille des clients Booking.com depuis le 29 juin 2005.En voir plus",8.0,https://www.booking.com/hotel/fr/lesmasdescitronniers.fr.html,    Animaux domestiques admis    Connexion Wi-Fi gratuite    Chambres familiales    Chambres non-fumeurs,42.52538159,3.08256391
Collioure,La Frégate,"24 Boulevard Camille Pelletan, 66190 Collioure, France","Situé à Collioure, à 200 mètres de la plage de Boramar, l’établissement La Frégate vous propose un restaurant, un bar et un salon commun. Doté d’une terrasse, cet hôtel se trouve à proximité de plusieurs attractions prisées, comme la plage de Port d’Avall et la plage Nord à 400 mètres, et la plage de Boutigue à 600 mètres. Le stade Gilbert Brutus se trouve à 33 km, tandis que le casino de Collioure est à 3,2 km.Le matin, vous pourrez déguster un petit-déjeuner continental sur place.Durant votre séjour à La Frégate, vous pourrez pratiquer des activités variées à Collioure et dans ses environs, comme la randonnée.La plage de Balette se trouve à moins de 1 km de l'hébergement, tandis que le château royal de Collioure est à 1 minute à pied. L’aéroport de Perpignan-Rivesaltes, le plus proche, est situé à 36 km. C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.L'établissement La Frégate accueille des clients Booking.com depuis le 22 févr. 2010.En voir plus",8.2,https://www.booking.com/hotel/fr/la-fra-c-gate-collioure.fr.html,    Animaux domestiques admis    Restaurant    Chambres non-fumeurs    Terrasse    Bar,42.52638625,3.08325659
Collioure,Hotel Méditerranée,"Avenue Aristide Maillol, 66190 Collioure, France","Doté d'un jardin de style méditerranéen et d'une terrasse, l'Hotel Méditerranée se trouve à Collioure, à 5 minutes de marche de la plage la plus proche. Une connexion Wi-Fi gratuite et un parking privé sont mis à votre disposition sur place.Toutes les chambres sont climatisées et pourvues d'un balcon et d'une télévision par satellite à écran plat. Elles possèdent également un réfrigérateur, un téléphone et un coffre-fort. Chaque chambre dispose d'une salle de bains avec une baignoire ou une douche.Un petit-déjeuner buffet est servi tous les matins, et vous pourrez le déguster sur la terrasse par beau temps.L'établissement propose une bagagerie.Argèles-sur-Mer se situe à 7,3 km et la frontière espagnole est à 26 km. L'aéroport de Perpignan-Rivesaltes est le plus proche, à 38 km. C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.L'établissement Hotel Méditerranée accueille des clients Booking.com depuis le 10 déc. 2009.En voir plus",7.7,https://www.booking.com/hotel/fr/mediterranee-collioure.fr.html,    Parking    Animaux domestiques admis    Connexion Wi-Fi gratuite    Chambres non-fumeurs    Terrasse,42.52708254,3.08026291
Collioure,Hôtel Triton,"Rue Jean Bart, 66190 Collioure, France","Situé sur la plage du Boutiquet, l’Hôtel Triton propose des chambres climatisées donnant sur la baie de Collioure ou sur les Pyrénées. Une connexion Wi-Fi gratuite est disponible dans le bâtiment d’origine.Les chambres de l’Hôtel Triton sont équipées d’une télévision et d’un téléphone. Certains hébergements comprennent un balcon. La salle de bains privative est pourvue d’une douche ou d’une baignoire. Les chambres sont aménagées dans le bâtiment d’origine de l’établissement ou dans son annexe plus récente.Chaque matin, vous pourrez savourer un petit-déjeuner buffet incluant des croissants et du pain frais sur la terrasse, qui offre une vue sur la mer.L’Hôtel Triton bénéficie d’une vue magnifique sur la ville fortifiée de Collioure, le château et le clocher. Vous séjournerez à 7 km d’Argelès-sur-Mer, à 25 km de la frontière espagnole et à 30 km de Perpignan. Un parking public est à votre disposition en face de l’établissement, moyennant des frais supplémentaires. C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.L'établissement Hôtel Triton accueille des clients Booking.com depuis le 23 mars 2011.En voir plus",7.3,https://www.booking.com/hotel/fr/triton.fr.html,    Animaux domestiques admis    Connexion Wi-Fi gratuite    Front de mer    Chambres familiales    Chambres non-fumeurs    Terrasse,42.52371617,3.08713473
Collioure,Le Madeloc Hôtel & Spa,"24 Rue Romain Rolland, 66190 Collioure, France","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Madeloc Hôtel & Spa ! Connectez-vous pour économiser.Situé à 500 mètres du centre-ville de Collioure et à 10 minutes à pied de la plage, l'hôtel Madeloc propose une piscine extérieure chauffée ouverte toute l'année, un solarium sur le toit, un jacuzzi et un hammam. Des soins de beauté et des massages sont dispensés sur demande.Présentant des tons neutres rehaussés d'une couleur vive, les chambres climatisées de l'établissement comprennent une télévision à écran LCD et un minibar. Certaines sont dotées d'une terrasse ou d'un balcon. Les chambres sont aménagées à l'un des trois étages de l'hôtel et sont uniquement accessibles par des escaliers. L'une d’elles est adaptée aux personnes à mobilité réduite.Chaque matin, l’établissement sert un petit-déjeuner buffet. Vous pourrez déguster ce repas dans le confort de votre chambre. Par ailleurs, le Madeloc est équipé d'une connexion Wi-Fi gratuite dans l'ensemble de son enceinte.Cet hôtel possède en outre une boutique de souvenirs vendant des produits locaux, des produits de spa et des bijoux.L'établissement est implanté à seulement 200 mètres de la gare de Collioure et à 5 minutes de la D914. Il se trouve également à 6,5 km d'Argelès-sur-Mer et à 25,5 km de la frontière espagnole. Sur demande et moyennant des frais supplémentaires, un parking privé est disponible sur place. C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,0 pour un séjour à deux.L'établissement Le Madeloc Hôtel & Spa accueille des clients Booking.com depuis le 20 avr. 2009.En voir plus",8.8,https://www.booking.com/hotel/fr/madeloc.fr.html,    Animaux domestiques admis    Spa et centre de bien-être    Connexion Wi-Fi gratuite    Chambres familiales    Chambres non-fumeurs    Équipements pour les personnes handicapées    Plateau/bouilloire dans tous les hébergements,42.52876467,3.07865426
Collioure,Résidence du Soleil,"B 7 Rue du Soleil, 66190 Collioure, France","Situé dans le centre-ville de Collioure, à 400 mètres du château royal et à 100 mètres de la plage, cet appartement dispose d'une terrasse et d'un jardin. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé sur place.La cuisine est équipée d'un four et d'un micro-ondes. Il dispose également d'une télévision à écran plat. La Résidence du Soleil comporte également un barbecue.La région est prisée des amateurs de plongée sous-marine et avec tuba. Vous aurez la possibilité de pratiquer différentes activités dans les environs, telles que le vélo et la pêche. L'aéroport de Perpignan-Rivesaltes est implanté à 30 km. C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.L'établissement Résidence du Soleil accueille des clients Booking.com depuis le 8 mai 2017.En voir plus",7.8,https://www.booking.com/hotel/fr/residence-du-soleil-collioure.fr.html,    Parking gratuit    Animaux domestiques admis    Spa et centre de bien-être    Connexion Wi-Fi gratuite    Front de mer    Chambres familiales,42.52311754,3.0854253
Collioure,Appartement Sous le Soleil,"D118 2 RUE JULIEN PY - Résidence Finca Majorca Aigue Marine, 66190 Collioure, France","Situé à Collioure, à 1,4 km de la plage d'Ouille et à 1,6 km de celle de Boramar, l'Appartement Sous le Soleil dispose d'une terrasse et de la climatisation. Vous bénéficierez gratuitement d'un parking privé et d'une connexion Wi-Fi.Cet appartement comprend une chambre, une salle de bains, du linge de lit, des serviettes, une télévision par satellite à écran plat, un coin repas, une cuisine entièrement équipée et un balcon avec vue sur la mer. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de lit moyennant des frais supplémentaires.Un service de location de vélos est assuré sur place. La région est prisée pour pratiquer la randonnée.Vous séjournerez à proximité de la plage de Port Avall, du château royal de Collioure et du casino de Collioure. L'aéroport le plus proche, celui de Perpignan-Rivesaltes, est situé à 35 km. Un service de navette aéroport peut être assuré moyennant des frais supplémentaires. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.L'établissement Appartement Sous le Soleil accueille des clients Booking.com depuis le 31 oct. 2017.En voir plus",9.4,https://www.booking.com/hotel/fr/appartement-sous-le-soleil.fr.html,    Parking gratuit    Animaux domestiques admis    Connexion Wi-Fi gratuite    Front de mer    Chambres non-fumeurs    Navette aéroport,42.5271222,3.0765161
Collioure,Les Suites de Collioure,"16 avenue du Général de Gaulle, 66190 Collioure, France","Situé à Collioure, à 200 mètres de la plage de Port Avall et à 400 mètres de celle de Boramar, l'établissement Les Suites de Collioure propose une vue sur la ville et une connexion Wi-Fi gratuite.Les logements comprennent la climatisation, une télévision à écran plat ainsi qu'une salle de bains privative pourvue d'une douche, d'un sèche-cheveux et d'articles de toilette gratuits. Un lave-vaisselle, un micro-ondes, un réfrigérateur, une bouilloire et une machine à café sont également fournis.Vous séjournerez à proximité des plages de Boutigue, de Balette et du château royal de Collioure. L'aéroport de Perpignan-Rivesaltes, le plus proche, est implanté à 36 km. C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.L'établissement Les Suites de Collioure accueille des clients Booking.com depuis le 6 août 2020.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.En voir plus",9.3,https://www.booking.com/hotel/fr/les-suites-de-collioure.fr.html,    Parking    Connexion Wi-Fi gratuite    Chambres familiales    Chambres non-fumeurs,42.52439,3.082726
